user_id,product,signup_date,plan_type,country,platform,signup_source,ab_variant,segment,activated,d7_retained,d30_retained
u_000001,Gemini,2025-11-07,free,GB,web,organic_search,control,casual_explorer,False,False,False
u_000002,ChatGPT,2025-11-07,free,CA,web,social_media,control,task_triager,True,False,False
u_000003,ChatGPT,2025-12-26,team,GB,ios,direct,control,casual_explorer,False,False,False
u_000004,ChatGPT,2026-02-05,free,CA,android,paid_ad,treatment,task_triager,True,True,True
u_000005,Gemini,2026-02-06,free,GB,web,direct,control,casual_explorer,True,True,False
u_000006,Claude,2026-02-06,free,AU,ios,social_media,control,task_triager,True,False,False
u_000007,Claude,2026-03-26,pro,US,web,organic_search,control,task_triager,False,False,False
u_000008,ChatGPT,2026-01-07,free,US,ios,paid_ad,control,casual_explorer,False,False,False
u_000009,Claude,2025-12-11,pro,US,android,paid_ad,control,casual_explorer,False,False,False
u_000010,Claude,2025-11-30,free,SG,android,organic_search,treatment,casual_explorer,True,False,False
u_000011,ChatGPT,2025-12-16,free,IN,web,organic_search,treatment,power_user,False,False,False
u_000012,Grok,2026-03-16,pro,CA,web,organic_search,control,casual_explorer,True,False,False
u_000013,ChatGPT,2025-11-21,free,US,android,social_media,treatment,casual_explorer,True,True,False
u_000014,Claude,2026-03-19,free,US,web,organic_search,control,task_triager,True,False,False
u_000015,Claude,2026-03-22,free,IN,web,referral,treatment,casual_explorer,True,False,False
u_000016,Claude,2025-12-04,free,US,web,paid_ad,control,casual_explorer,True,True,True
u_000017,Claude,2025-11-26,free,IN,web,paid_ad,control,task_triager,True,False,False
u_000018,Claude,2026-03-21,free,US,web,paid_ad,control,casual_explorer,True,False,False
u_000019,Grok,2025-12-13,free,NG,ios,direct,treatment,casual_explorer,True,False,False
u_000020,Claude,2026-01-15,free,SG,web,organic_search,treatment,power_user,True,True,True
u_000021,ChatGPT,2025-12-18,free,GB,web,organic_search,treatment,power_user,True,False,False
u_000022,Gemini,2026-03-25,free,US,web,direct,treatment,casual_explorer,True,False,False
u_000023,Claude,2026-02-26,free,US,web,social_media,treatment,casual_explorer,True,True,False
u_000024,ChatGPT,2026-01-17,free,DE,android,organic_search,control,task_triager,False,False,False
u_000025,Claude,2025-11-28,free,US,web,paid_ad,control,power_user,True,True,False
u_000026,Claude,2026-02-17,pro,IN,web,direct,control,power_user,True,False,False
u_000027,ChatGPT,2025-11-29,free,IN,web,social_media,treatment,task_triager,False,False,False
u_000028,Grok,2025-11-11,pro,FR,web,referral,control,casual_explorer,False,False,False
u_000029,Claude,2025-12-31,pro,US,android,direct,treatment,task_triager,True,False,False
u_000030,Gemini,2026-01-03,free,CA,web,social_media,treatment,casual_explorer,False,False,False
u_000031,Gemini,2025-12-29,free,US,ios,direct,control,casual_explorer,True,False,False
u_000032,ChatGPT,2025-11-08,free,US,ios,social_media,treatment,casual_explorer,True,True,False
u_000033,ChatGPT,2026-03-28,free,SG,ios,organic_search,control,power_user,True,False,False
u_000034,ChatGPT,2026-01-24,free,BR,ios,organic_search,treatment,casual_explorer,True,False,False
u_000035,Gemini,2026-02-06,free,GB,ios,social_media,control,task_triager,True,True,False
u_000036,ChatGPT,2025-12-25,free,DE,web,app_store,treatment,task_triager,True,False,False
u_000037,ChatGPT,2026-01-19,free,US,ios,organic_search,control,power_user,True,True,False
u_000038,Gemini,2026-03-07,free,CA,web,direct,treatment,task_triager,False,False,False
u_000039,Gemini,2026-02-27,free,NG,ios,app_store,control,task_triager,False,False,False
u_000040,Grok,2026-03-10,free,BR,android,organic_search,control,casual_explorer,False,False,False
u_000041,Gemini,2026-03-05,free,IN,ios,direct,control,casual_explorer,True,True,False
u_000042,Claude,2026-02-13,free,IN,android,referral,treatment,casual_explorer,True,False,False
u_000043,ChatGPT,2026-01-30,free,FR,web,organic_search,treatment,task_triager,True,False,False
u_000044,ChatGPT,2026-02-08,free,US,ios,organic_search,control,casual_explorer,True,True,False
u_000045,Gemini,2025-12-05,pro,US,android,social_media,control,casual_explorer,True,True,False
u_000046,Gemini,2026-03-01,free,BR,android,organic_search,control,task_triager,True,False,False
u_000047,Claude,2025-12-10,free,NG,ios,direct,treatment,casual_explorer,True,True,False
u_000048,Claude,2026-01-19,free,BR,web,referral,control,power_user,True,False,False
u_000049,Gemini,2025-11-27,free,IN,web,referral,treatment,task_triager,False,False,False
u_000050,Claude,2026-01-27,free,IN,web,referral,control,casual_explorer,True,False,False
u_000051,Gemini,2026-03-18,free,US,web,direct,treatment,task_triager,True,False,False
u_000052,ChatGPT,2026-02-06,free,FR,ios,social_media,control,casual_explorer,True,True,False
u_000053,Claude,2026-01-01,free,IN,web,referral,treatment,task_triager,True,False,False
u_000054,ChatGPT,2026-03-29,free,IN,ios,social_media,treatment,casual_explorer,True,True,False
u_000055,Gemini,2025-12-18,free,NG,android,organic_search,treatment,casual_explorer,False,False,False
u_000056,ChatGPT,2026-01-17,free,FR,web,paid_ad,treatment,casual_explorer,True,False,False
u_000057,ChatGPT,2026-03-01,free,IN,web,referral,control,task_triager,False,False,False
u_000058,Gemini,2025-12-09,free,CA,web,referral,treatment,casual_explorer,True,False,False
u_000059,ChatGPT,2026-02-22,free,CA,ios,organic_search,treatment,casual_explorer,True,False,False
u_000060,Claude,2026-01-01,free,BR,ios,social_media,control,power_user,True,True,True
